DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1905-0001-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",,,No,No,No,,7.1,Richter,38.67,16.07,,1905,9,8,1905,9,8,557,2000,,20100,22100,,,,,,,3.070275188,,2003-07-01,2023-09-25
1906-0012-ITA,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Vesuve,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,,40.821,14.426,,1906,4,18,1906,4,18,700,,,,,,,,,,,3.070275188,,2003-11-16,2023-09-25
1908-0007-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Messina, Regio, Calabria, Sicilia",,Tsunami/Tidal wave,No,No,No,,7,Richter,38.17,15.58,,1908,12,28,1908,12,28,75000,,150000,,150000,,,,,116000,3778163,3.070275188,,2011-05-23,2023-09-25
1914-0028-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Catania, Etna",,,No,No,No,,4.9,Richter,37.7,15.2,,1914,5,8,1914,5,8,120,,,669,669,,,,,,,3.416467373,,2019-08-07,2023-09-25
1915-0002-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Avezzano, Marsica (Abruzze)",,,No,No,No,,7.5,Richter,42.02,13.26,,1915,1,13,1915,1,13,29980,,,,,,,,,60000,1738812,3.450632046,,2011-05-23,2023-09-25
1920-0014-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Carrara, Farfagnana",,,No,No,No,,5.8,Richter,44.3,10.3,,1920,9,7,1920,9,7,1400,,,,,,,,,,,6.832934745,,2003-07-01,2023-09-25
1922-0002-ITA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,Sicily,,,No,No,No,,,,,,,1922,2,11,1922,2,11,100,,,,,,,,,,,5.739665186,,2003-07-01,2023-09-25
1930-0008-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,"Irpina, Naples",,,No,No,No,,6.4,Richter,40.922,15.377,,1930,7,23,1930,7,23,1883,,10000,,10000,,,,,5000,87635,5.705500512,,2003-07-01,2023-09-25
1930-0033-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Senigalia,,,No,No,No,,5.9,Richter,43.667,13.267,,1930,10,30,1930,10,30,18,,,,,,,,,,,5.705500512,,2019-08-08,2023-09-25
1933-0027-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Central,,,No,No,No,,,Richter,42,14.2,,1933,9,26,1933,9,26,10,,,,,,,,,,,4.407242911,,2019-08-12,2023-09-25
1935-0025-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Short Kent,ITA,Italy,Southern Europe,Europe,Brindisi,,,No,No,No,,,,,,,1935,11,9,1935,11,9,12,,,,,,,,,,,4.680560301,,2003-07-01,2023-09-25
1938-0015-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Junkers JU-52,ITA,Italy,Southern Europe,Europe,Near Formia,,,No,No,No,,,,,,,1938,4,30,1938,4,30,19,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1938-0020-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Savoia Marchetti S-66,ITA,Italy,Southern Europe,Europe,Off Sardinia,,,No,No,No,,,,,,,1938,7,14,1938,7,14,20,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1938-0024-ITA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Macchhi C-94,ITA,Italy,Southern Europe,Europe,Montnago,,,No,No,No,,,,,,,1938,8,18,1938,8,18,15,,,,,,,,,,,4.817218996,,2003-07-01,2023-09-25
1939-0018-ITA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ITA,Italy,Southern Europe,Europe,Soverato,,,No,No,No,,,Km2,,,,1939,,,1939,,,10,,,,,,,,,,,4.748889648,,2003-07-01,2023-09-25
1944-0023-ITA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,ITA,Italy,Southern Europe,Europe,Salerno,,,No,No,No,,,,,,,1944,3,4,1944,3,4,521,,,,,,,,,,,6.012982576,,2003-07-01,2023-09-25
