asin,date_at,buybox_price
B001B0V5GG,2016-12-18 01:50:00,9.6300
B001B0V5GG,2017-01-12 10:56:00,8.7000
B001B0V5GG,2017-02-18 20:20:00,12.0400
B001B0V5GG,2017-02-22 06:12:00,9.7900
B001B0V5GG,2017-02-26 17:20:00,9.9400
B001B0V5GG,2017-03-01 13:48:00,11.7700
B001B0V5GG,2017-03-10 05:40:00,11.9000
B001B0V5GG,2017-03-16 03:38:00,12.6900
B001B0V5GG,2017-03-18 01:40:00,11.1300
B001B0V5GG,2017-03-22 08:04:00,11.7700
B001B0V5GG,2017-03-29 05:40:00,13.4900
B001B0V5GG,2017-04-04 21:18:00,11.6700
B001B0V5GG,2017-04-10 07:42:00,0.0000
B001B0V5GG,2017-05-21 04:48:00,11.0900
B001B0V5GG,2017-05-22 02:16:00,10.2900
B001B0V5GG,2017-05-25 13:00:00,10.3000
B001B0V5GG,2017-06-12 10:06:00,10.2900
B001B0V5GG,2017-06-14 07:44:00,10.3000
B001B0V5GG,2017-06-17 07:40:00,11.9900
B001B0V5GG,2017-06-19 07:56:00,12.0000
B001B0V5GG,2017-06-22 07:56:00,11.3000
B001B0V5GG,2017-06-24 09:16:00,10.3200
B001B0V5GG,2017-06-24 23:50:00,10.2900
B001B0V5GG,2017-07-17 08:36:00,11.4400
B001B0V5GG,2017-07-17 23:32:00,10.2900
B001B0V5GG,2017-08-06 07:54:00,10.2800
B001B0V5GG,2017-08-09 04:52:00,10.2700
B001B0V5GG,2017-08-10 07:14:00,10.2900
B001B0V5GG,2017-08-14 09:44:00,11.3400
B001B0V5GG,2017-08-17 18:32:00,11.2500
B001B0V5GG,2017-08-21 02:36:00,10.3200
B001B0V5GG,2017-08-22 20:12:00,10.3000
B001B0V5GG,2017-09-07 15:48:00,12.8400
B001B0V5GG,2017-09-07 17:28:00,10.3000
B001B0V5GG,2017-09-09 13:56:00,10.3100
B001B0V5GG,2017-09-10 17:56:00,10.2900
B001B0V5GG,2017-09-11 08:56:00,10.2000
B001B0V5GG,2017-09-11 20:44:00,10.2900
B001B0V5GG,2017-09-13 04:44:00,12.8400
B001B0V5GG,2017-09-14 17:48:00,10.2900
B001B0V5GG,2017-09-14 19:28:00,12.8400
B001B0V5GG,2017-09-16 16:34:00,10.2900
B001B0V5GG,2017-09-19 11:04:00,12.8400
B001B0V5GG,2017-09-20 02:28:00,10.2900
B001B0V5GG,2017-09-20 03:46:00,12.8400
B001B0V5GG,2017-09-20 14:24:00,10.2900
B001B0V5GG,2017-09-21 13:48:00,12.8400
B001B0V5GG,2017-09-24 23:16:00,10.2900
B001B0V5GG,2017-10-06 08:30:00,12.8400
B001B0V5GG,2017-10-12 18:04:00,10.2600
B001B0V5GG,2017-10-17 10:08:00,12.8400
B001B0V5GG,2017-10-17 13:12:00,10.2900
B001B0V5GG,2017-10-23 02:44:00,10.2600
B001B0V5GG,2017-10-23 04:46:00,12.8400
B001B0V5GG,2017-10-24 16:42:00,10.2600
B001B0V5GG,2017-10-25 20:16:00,10.2900
B001B0V5GG,2017-10-29 05:06:00,12.8400
B001B0V5GG,2017-11-01 13:56:00,10.2000
B001B0V5GG,2017-11-02 07:20:00,10.2700
B001B0V5GG,2017-11-03 21:00:00,12.8400
B001B0V5GG,2017-11-06 02:56:00,10.2900
B001B0V5GG,2017-11-06 17:36:00,9.8400
B001B0V5GG,2017-11-10 17:32:00,9.8700
B001B0V5GG,2017-11-12 19:14:00,12.8400
B001B0V5GG,2017-11-14 01:10:00,10.2900
B001B0V5GG,2017-11-14 06:36:00,12.8400
B001B0V5GG,2017-11-17 16:52:00,9.7400
B001B0V5GG,2017-11-17 23:16:00,10.2600
B001B0V5GG,2017-11-19 11:12:00,12.8400
B001B0V5GG,2017-11-21 20:36:00,10.2600
B001B0V5GG,2017-11-22 03:12:00,12.8400
B001B0V5GG,2017-11-22 09:40:00,10.2900
B001B0V5GG,2017-11-22 16:30:00,12.8400
B001B0V5GG,2017-11-23 14:22:00,10.2900
B001B0V5GG,2017-11-23 23:44:00,12.8400
B001B0V5GG,2017-11-24 23:20:00,10.2900
B001B0V5GG,2017-11-25 21:44:00,12.8400
B001B0V5GG,2017-11-26 16:04:00,10.2900
B001B0V5GG,2017-11-26 19:00:00,12.8400
B001B0V5GG,2017-11-27 01:20:00,10.2600
B001B0V5GG,2017-11-27 13:26:00,12.8400
B001B0V5GG,2017-12-01 08:02:00,16.5400
B001B0V5GG,2017-12-05 17:20:00,16.3900
B001B0V5GG,2017-12-14 01:16:00,8.9500
B001B0V5GG,2017-12-14 06:40:00,16.3900
B001B0V5GG,2017-12-14 15:12:00,10.2500
B001B0V5GG,2017-12-14 20:14:00,16.3900
B001B0V5GG,2017-12-15 15:12:00,10.2500
B001B0V5GG,2017-12-15 23:32:00,10.2600
B001B0V5GG,2017-12-16 12:06:00,16.3900
B001B0V5GG,2017-12-17 16:56:00,10.2600
B001B0V5GG,2017-12-17 23:20:00,16.3900
B001B0V5GG,2017-12-20 16:00:00,10.2400
B001B0V5GG,2017-12-21 15:24:00,10.2600
B001B0V5GG,2017-12-22 03:36:00,16.3900
B001B0V5GG,2017-12-22 16:36:00,10.2600
B001B0V5GG,2017-12-22 21:10:00,16.1300
B001B0V5GG,2017-12-24 23:40:00,10.2600
B001B0V5GG,2017-12-26 16:10:00,16.1300
B001B0V5GG,2018-01-01 05:20:00,10.1000
B001B0V5GG,2018-01-03 10:50:00,16.2800
B001B0V5GG,2018-01-09 15:12:00,0.0000
B001B0V5GG,2018-01-17 23:40:00,11.6400
B001B0V5GG,2018-01-19 02:04:00,0.0000
B001B0V5GG,2018-01-24 00:36:00,13.1600
B001B0V5GG,2018-01-24 02:24:00,0.0000
B001B0V5GG,2018-01-24 05:42:00,13.1600
B001B0V5GG,2018-01-24 09:04:00,0.0000
B001B0V5GG,2018-01-24 16:06:00,12.8300
B001B0V5GG,2018-01-24 19:26:00,0.0000
B001B0V5GG,2018-01-25 19:44:00,9.3300
B001B0V5GG,2018-01-25 23:10:00,0.0000
B001B0V5GG,2018-01-30 03:36:00,9.3300
B001B0V5GG,2018-01-30 23:46:00,0.0000
B001B0V5GG,2018-01-31 21:20:00,10.1600
B001B0V5GG,2018-01-31 23:38:00,0.0000
B001B0V5GG,2018-02-06 14:52:00,10.1600
B001B0V5GG,2018-02-09 02:32:00,0.0000
B001B0V5GG,2018-02-10 19:16:00,10.1600
B001B0V5GG,2018-02-11 04:24:00,0.0000
B001B0V5GG,2018-02-14 23:44:00,11.9700
B001B0V5GG,2018-02-15 16:54:00,0.0000
B001B0V5GG,2018-02-15 21:00:00,11.6100
B001B0V5GG,2018-02-16 15:44:00,0.0000
B001B0V5GG,2018-02-17 22:32:00,10.5100
B001B0V5GG,2018-02-18 22:52:00,0.0000
B001B0V5GG,2018-02-22 12:56:00,10.1600
B001B0V5GG,2018-02-22 17:00:00,11.9900
B001B0V5GG,2018-02-22 18:20:00,0.0000
B001B0V5GG,2018-02-23 10:36:00,11.9900
B001B0V5GG,2018-02-23 11:52:00,0.0000
B001B0V5GG,2018-02-24 07:52:00,11.9200
B001B0V5GG,2018-02-27 10:42:00,10.1600
B001B0V5GG,2018-02-27 21:08:00,0.0000
B001B0V5GG,2018-03-01 20:00:00,11.4800
B001B0V5GG,2018-03-01 23:50:00,0.0000
B001B0V5GG,2018-03-02 06:20:00,11.4800
B001B0V5GG,2018-03-02 08:04:00,0.0000
B001B0V5GG,2018-03-02 09:06:00,11.6500
