entity,year,avg_anomaly_temp,high_anomaly_temp,low_animaly_temp
Northern hemisphere,1850,-0.4358963,-0.23598108,-0.63581157
Northern hemisphere,1851,-0.21924901,-0.010099963,-0.42839807
Northern hemisphere,1852,-0.23570205,-0.013715232,-0.45768887
Northern hemisphere,1853,-0.24539217,-0.0275854,-0.46319896
Northern hemisphere,1854,-0.17468971,0.021511175,-0.3708906
Northern hemisphere,1855,-0.2455743,-0.041025933,-0.45012265
Northern hemisphere,1856,-0.33354086,-0.12911248,-0.53796923
Northern hemisphere,1857,-0.45139664,-0.24845001,-0.65434325
Northern hemisphere,1858,-0.3586044,-0.15512446,-0.5620843
Northern hemisphere,1859,-0.24778351,-0.054483183,-0.44108385
Northern hemisphere,1860,-0.45903206,-0.26152587,-0.65653825
Northern hemisphere,1861,-0.40521327,-0.16020836,-0.6502182
Northern hemisphere,1862,-0.70151186,-0.45543528,-0.94758844
Northern hemisphere,1863,-0.30116072,-0.028367957,-0.5739535
Northern hemisphere,1864,-0.46170026,-0.20519777,-0.7182027
Northern hemisphere,1865,-0.36730298,-0.07955684,-0.65504915
Northern hemisphere,1866,-0.37378374,-0.117980525,-0.62958694
Northern hemisphere,1867,-0.4051548,-0.1180726,-0.692237
Northern hemisphere,1868,-0.358445,-0.10097435,-0.61591566
Northern hemisphere,1869,-0.2488066,-0.023617476,-0.47399572
Northern hemisphere,1870,-0.31214142,-0.10993689,-0.51434594
Northern hemisphere,1871,-0.4409196,-0.21906663,-0.6627726
Northern hemisphere,1872,-0.35715973,-0.15433463,-0.5599848
Northern hemisphere,1873,-0.37552434,-0.18013076,-0.5709179
Northern hemisphere,1874,-0.29373273,-0.09407458,-0.4933909
Northern hemisphere,1875,-0.48372233,-0.28744656,-0.6799981
Northern hemisphere,1876,-0.43496624,-0.2524682,-0.6174643
Northern hemisphere,1877,-0.1013623,0.076767854,-0.27949247
Northern hemisphere,1878,0.07121073,0.241525,-0.09910354
Northern hemisphere,1879,-0.33624864,-0.15824309,-0.51425415
Northern hemisphere,1880,-0.38399777,-0.20329948,-0.564696
Northern hemisphere,1881,-0.28404993,-0.11507452,-0.45302534
Northern hemisphere,1882,-0.37297913,-0.19956523,-0.54639304
Northern hemisphere,1883,-0.42706347,-0.2677549,-0.586372
Northern hemisphere,1884,-0.63446146,-0.48669806,-0.78222483
Northern hemisphere,1885,-0.50963664,-0.3651323,-0.65414095
Northern hemisphere,1886,-0.4454663,-0.30295312,-0.5879795
Northern hemisphere,1887,-0.49421906,-0.3401963,-0.6482418
Northern hemisphere,1888,-0.37244922,-0.21291286,-0.5319856
Northern hemisphere,1889,-0.26046592,-0.10233628,-0.41859558
Northern hemisphere,1890,-0.5236722,-0.35745075,-0.68989366
Northern hemisphere,1891,-0.411902,-0.24040791,-0.5833961
Northern hemisphere,1892,-0.57606024,-0.409722,-0.7423985
Northern hemisphere,1893,-0.5567236,-0.38847166,-0.72497547
Northern hemisphere,1894,-0.44259676,-0.27804273,-0.6071508
Northern hemisphere,1895,-0.44512075,-0.28192785,-0.6083137
Northern hemisphere,1896,-0.2934403,-0.13634375,-0.45053688
Northern hemisphere,1897,-0.25156042,-0.08939791,-0.4137229
Northern hemisphere,1898,-0.430447,-0.27788574,-0.5830083
Northern hemisphere,1899,-0.33304518,-0.1804844,-0.48560596
Northern hemisphere,1900,-0.19793019,-0.051865637,-0.34399474
Northern hemisphere,1901,-0.21490718,-0.05944943,-0.37036493
Northern hemisphere,1902,-0.4598677,-0.30658057,-0.61315477
Northern hemisphere,1903,-0.5050607,-0.36263797,-0.64748335
Northern hemisphere,1904,-0.5782725,-0.4325377,-0.7240073
Northern hemisphere,1905,-0.40350583,-0.27396703,-0.53304464
Northern hemisphere,1906,-0.26031113,-0.113967925,-0.4066543
Northern hemisphere,1907,-0.5365565,-0.41054425,-0.6625687
Northern hemisphere,1908,-0.47776186,-0.3479727,-0.60755104
Northern hemisphere,1909,-0.49360988,-0.37560868,-0.61161107
Northern hemisphere,1910,-0.49123242,-0.36666557,-0.61579925
Northern hemisphere,1911,-0.45294377,-0.33737597,-0.5685116
Northern hemisphere,1912,-0.5300647,-0.41882458,-0.6413048
Northern hemisphere,1913,-0.4944625,-0.38180992,-0.60711503
Northern hemisphere,1914,-0.26884878,-0.16238123,-0.3753163
Northern hemisphere,1915,-0.1752556,-0.0677301,-0.2827811
Northern hemisphere,1916,-0.4431951,-0.33354548,-0.5528447
Northern hemisphere,1917,-0.58421886,-0.47564363,-0.692794
Northern hemisphere,1918,-0.46904504,-0.36327907,-0.57481104
Northern hemisphere,1919,-0.3719407,-0.2618616,-0.4820198
Northern hemisphere,1920,-0.30879715,-0.19534856,-0.42224574
Northern hemisphere,1921,-0.16289015,-0.05600067,-0.26977965
Northern hemisphere,1922,-0.3022349,-0.19574122,-0.40872857
Northern hemisphere,1923,-0.2549076,-0.16098836,-0.34882686
Northern hemisphere,1924,-0.19226864,-0.09627851,-0.2882588
Northern hemisphere,1925,-0.16809559,-0.07268898,-0.2635022
Northern hemisphere,1926,-0.001492459,0.09453933,-0.09752425
Northern hemisphere,1927,-0.10637508,-0.024012256,-0.1887379
Northern hemisphere,1928,-0.0869375,0.003131044,-0.17700604
Northern hemisphere,1929,-0.33608702,-0.25115886,-0.4210152
Northern hemisphere,1930,-0.030012257,0.055881523,-0.11590604
Northern hemisphere,1931,0.04586281,0.13172504,-0.039999425
Northern hemisphere,1932,-0.037433565,0.050302293,-0.12516943
Northern hemisphere,1933,-0.2650514,-0.18164818,-0.3484546
Northern hemisphere,1934,-0.05340261,0.023465678,-0.1302709
Northern hemisphere,1935,-0.08655061,-0.009179134,-0.16392209
Northern hemisphere,1936,-0.06099552,0.012351797,-0.13434283
Northern hemisphere,1937,0.121766135,0.20081595,0.042716328
Northern hemisphere,1938,0.15948811,0.23210078,0.08687543
Northern hemisphere,1939,0.05339112,0.13155133,-0.02476908
Northern hemisphere,1940,0.121980764,0.20718782,0.036773704
Northern hemisphere,1941,0.075490244,0.23546256,-0.084482074
Northern hemisphere,1942,0.060141113,0.20882967,-0.08854745
Northern hemisphere,1943,0.11247741,0.26427612,-0.039321292
Northern hemisphere,1944,0.22006534,0.37537137,0.06475929
Northern hemisphere,1945,0.08353448,0.24333929,-0.07627033
Northern hemisphere,1946,-0.011474103,0.10103278,-0.123980984
Northern hemisphere,1947,0.044209264,0.1457752,-0.057356674
Northern hemisphere,1948,-0.000778757,0.096580245,-0.09813776
Northern hemisphere,1949,-0.06751221,0.010986996,-0.14601141
Northern hemisphere,1950,-0.19089268,-0.12730163,-0.25448373
Northern hemisphere,1951,0.053849187,0.10403101,0.003667366
Northern hemisphere,1952,0.06981737,0.12473611,0.014898636
Northern hemisphere,1953,0.2065791,0.26373556,0.14942265
Northern hemisphere,1954,-0.031117765,0.020048998,-0.08228453
Northern hemisphere,1955,-0.12558745,-0.07102727,-0.18014763
Northern hemisphere,1956,-0.2791294,-0.22461224,-0.3336465
Northern hemisphere,1957,-0.0357678,0.015052779,-0.086588375
Northern hemisphere,1958,0.082695685,0.1291432,0.036248185
Northern hemisphere,1959,0.047075693,0.09297406,0.001177329
Northern hemisphere,1960,0.000396492,0.040381707,-0.039588723
Northern hemisphere,1961,-0.00673074,0.027908182,-0.04136966
Northern hemisphere,1962,0.048205677,0.084408864,0.012002493
Northern hemisphere,1963,0.07036421,0.10955616,0.031172257
Northern hemisphere,1964,-0.26100203,-0.22459559,-0.29740846
Northern hemisphere,1965,-0.19513267,-0.1556255,-0.23463982
Northern hemisphere,1966,-0.088959984,-0.04828401,-0.12963596
Northern hemisphere,1967,-0.03913268,-0.004227012,-0.07403835
Northern hemisphere,1968,-0.13923827,-0.10928777,-0.16918878
Northern hemisphere,1969,-0.10033807,-0.068443485,-0.13223265
Northern hemisphere,1970,-0.12249983,-0.09452218,-0.15047748
Northern hemisphere,1971,-0.22896296,-0.1993062,-0.2586197
Northern hemisphere,1972,-0.24988332,-0.22225867,-0.27750796
Northern hemisphere,1973,0.021601351,0.048390348,-0.005187645
Northern hemisphere,1974,-0.24963331,-0.21793681,-0.2813298
Northern hemisphere,1975,-0.11088221,-0.08326258,-0.13850184
Northern hemisphere,1976,-0.25186262,-0.2249894,-0.27873582
Northern hemisphere,1977,0.078970395,0.109537214,0.04840357
Northern hemisphere,1978,-0.011896549,0.016685698,-0.040478796
Northern hemisphere,1979,0.031081056,0.05867094,0.00349117
Northern hemisphere,1980,0.13930698,0.1689727,0.10964124
Northern hemisphere,1981,0.3399632,0.36973393,0.31019247
Northern hemisphere,1982,-0.009878171,0.019577613,-0.039333954
Northern hemisphere,1983,0.19221364,0.2196261,0.16480118
Northern hemisphere,1984,-0.029621718,-0.003186909,-0.05605653
Northern hemisphere,1985,-0.05202684,-0.02077245,-0.083281234
Northern hemisphere,1986,0.062017504,0.08868735,0.035347655
Northern hemisphere,1987,0.19571495,0.22498795,0.16644193
Northern hemisphere,1988,0.31566116,0.34324753,0.2880748
Northern hemisphere,1989,0.21736723,0.245474,0.18926045
Northern hemisphere,1990,0.46398693,0.49251148,0.43546236
Northern hemisphere,1991,0.385191,0.41325134,0.35713062
Northern hemisphere,1992,0.096909195,0.12752189,0.0662965
Northern hemisphere,1993,0.19244488,0.22104801,0.16384172
Northern hemisphere,1994,0.3232257,0.3518795,0.29457194
Northern hemisphere,1995,0.56863606,0.5986008,0.53867126
Northern hemisphere,1996,0.2917488,0.32099906,0.26249853
Northern hemisphere,1997,0.53472054,0.56475145,0.50468963
Northern hemisphere,1998,0.71429116,0.7466318,0.6819505
Northern hemisphere,1999,0.47636315,0.50733525,0.44539103
Northern hemisphere,2000,0.48707604,0.5170334,0.45711863
Northern hemisphere,2001,0.62824297,0.66048414,0.59600174
Northern hemisphere,2002,0.6687142,0.69896436,0.6384641
Northern hemisphere,2003,0.72047156,0.7519909,0.6889522
Northern hemisphere,2004,0.63348985,0.6647055,0.6022742
Northern hemisphere,2005,0.8313994,0.8632175,0.79958135
Northern hemisphere,2006,0.7947609,0.82724935,0.76227236
Northern hemisphere,2007,0.8321025,0.86381155,0.80039334
Northern hemisphere,2008,0.67170423,0.70359397,0.63981444
Northern hemisphere,2009,0.7067396,0.7384799,0.67499936
Northern hemisphere,2010,0.91949964,0.9509712,0.8880281
Northern hemisphere,2011,0.7253461,0.75655717,0.694135
Northern hemisphere,2012,0.7843316,0.81832016,0.7503431
Northern hemisphere,2013,0.77667415,0.8091966,0.7441517
Northern hemisphere,2014,0.907794,0.9390507,0.8765373
Northern hemisphere,2015,1.1308407,1.1658427,1.0958387
Northern hemisphere,2016,1.2551929,1.2865372,1.2238487
Northern hemisphere,2017,1.1153969,1.1466073,1.0841864
Northern hemisphere,2018,0.9596617,0.99344534,0.92587805
Northern hemisphere,2019,1.1437434,1.179197,1.1082898
Northern hemisphere,2020,1.2759095,1.3148022,1.2370169
Northern hemisphere,2021,1.0781927,1.1161928,1.0401927
Northern hemisphere,2022,1.0998019,1.1406531,1.0589505
Northern hemisphere,2023,1.413866,1.4571795,1.3705524
Northern hemisphere,2024,1.5287287,1.9201691,1.1372883
